2025-01-04 18:19:05,302 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:19:05,302 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:19:07,905 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:19:07,905 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:19:10,657 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:19:10,657 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:19:13,585 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:19:13,592 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:38:18,992 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:38:18,992 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:38:19,822 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:38:19,822 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:38:20,562 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:38:20,562 - INFO - Admin: admin_user1, Action: Deleted user, Details: User ID: 12345
2025-01-04 18:42:00,922 - INFO - Admin: admin_user1, Action: Logged in, Details: 
2025-01-04 18:42:14,969 - INFO - Admin: admin_user1, Action: Logged in, Details: 

